2024-09-10 13:53:54 [background-preinit] INFO  o.h.validator.internal.util.Version -  HV000001: Hibernate Validator 8.0.1.Final
2024-09-10 13:53:54 [main] INFO  c.m.Wunderlist.WunderlistApplication -  Starting WunderlistApplication using Java 21.0.3 with PID 58133 (/Users/metehan.kara/Kişisel/Wunderlist/target/classes started by metehan.kara in /Users/metehan.kara/Kişisel/Wunderlist)
2024-09-10 13:53:54 [main] INFO  c.m.Wunderlist.WunderlistApplication -  The following 1 profile is active: "prod"
2024-09-10 13:53:54 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate -  Bootstrapping Spring Data Couchbase repositories in DEFAULT mode.
2024-09-10 13:53:54 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate -  Finished Spring Data repository scanning in 2 ms. Found 0 Couchbase repository interfaces.
2024-09-10 13:53:54 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate -  Bootstrapping Spring Data Couchbase repositories in DEFAULT mode.
2024-09-10 13:53:54 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate -  Finished Spring Data repository scanning in 66 ms. Found 0 Couchbase repository interfaces.
2024-09-10 13:53:54 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate -  Bootstrapping Spring Data Couchbase repositories in DEFAULT mode.
2024-09-10 13:53:54 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate -  Finished Spring Data repository scanning in 23 ms. Found 2 Couchbase repository interfaces.
2024-09-10 13:53:55 [main] WARN  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker -  Bean 'couchbaseConfiguration' of type [com.mk_he.Wunderlist.config.database.CouchbaseConfiguration$$SpringCGLIB$$0] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected into a currently created BeanPostProcessor [transactionInterceptorCustomizer]? Check the corresponding BeanPostProcessor declaration and its dependencies.
2024-09-10 13:53:55 [main] WARN  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker -  Bean 'couchbaseClusterEnvironment' of type [com.couchbase.client.java.env.ClusterEnvironment] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected into a currently created BeanPostProcessor [transactionInterceptorCustomizer]? Check the corresponding BeanPostProcessor declaration and its dependencies.
2024-09-10 13:53:55 [main] WARN  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker -  Bean 'couchbaseCluster' of type [com.couchbase.client.java.Cluster] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected into a currently created BeanPostProcessor [transactionInterceptorCustomizer]? Check the corresponding BeanPostProcessor declaration and its dependencies.
2024-09-10 13:53:55 [main] WARN  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker -  Bean 'couchbaseClientFactory' of type [org.springframework.data.couchbase.SimpleCouchbaseClientFactory] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected into a currently created BeanPostProcessor [transactionInterceptorCustomizer]? Check the corresponding BeanPostProcessor declaration and its dependencies.
2024-09-10 13:53:55 [main] WARN  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker -  Bean 'couchbaseTransactionManager' of type [org.springframework.data.couchbase.transaction.CouchbaseCallbackTransactionManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected into a currently created BeanPostProcessor [transactionInterceptorCustomizer]? Check the corresponding BeanPostProcessor declaration and its dependencies.
